lad_code,date,claimant_count
E06000001,1/1/18,3890
E06000002,1/1/18,4135
E06000003,1/1/18,2985
E06000004,1/1/18,3915
E06000005,1/1/18,2290
E06000006,1/1/18,2755
E06000007,1/1/18,2760
E06000008,1/1/18,2815
E06000009,1/1/18,4015
E06000010,1/1/18,6300
E06000011,1/1/18,3010
E06000012,1/1/18,3310
E06000013,1/1/18,2410
E06000014,1/1/18,1400
E06000015,1/1/18,2830
E06000016,1/1/18,4045
E06000017,1/1/18,135
E06000018,1/1/18,7175
E06000019,1/1/18,1170
E06000020,1/1/18,1930
E06000021,1/1/18,3990
E06000022,1/1/18,1970
E06000023,1/1/18,5165
E06000024,1/1/18,1725
E06000025,1/1/18,1510
E06000026,1/1/18,3545
E06000027,1/1/18,1730
E06000030,1/1/18,2795
E06000031,1/1/18,1850
E06000032,1/1/18,2520
E06000033,1/1/18,2730
E06000034,1/1/18,1855
E06000035,1/1/18,3345
E06000036,1/1/18,580
E06000037,1/1/18,630
E06000038,1/1/18,1650
E06000039,1/1/18,1225
E06000040,1/1/18,675
E06000041,1/1/18,525
E06000042,1/1/18,2600
E06000043,1/1/18,3200
E06000044,1/1/18,2365
E06000045,1/1/18,3845
E06000046,1/1/18,1685
E06000047,1/1/18,8860
E06000049,1/1/18,3030
E06000050,1/1/18,3360
E06000051,1/1/18,2220
E06000052,1/1/18,4555
E06000053,1/1/18,5
E06000054,1/1/18,3455
E06000055,1/1/18,2710
E06000056,1/1/18,1515
E06000057,1/1/18,5010
E06000058,1/1/18,3450
E06000059,1/1/18,2010
E06000060,1/1/18,2945
E06000061,1/1/18,3580
E06000062,1/1/18,3715
E06000063,1/1/18,3640
E06000064,1/1/18,1645
E06000065,1/1/18,5285
E06000066,1/1/18,6405
E07000008,1/1/18,705
E07000009,1/1/18,370
E07000010,1/1/18,685
E07000011,1/1/18,805
E07000012,1/1/18,470
E07000032,1/1/18,975
E07000033,1/1/18,695
E07000034,1/1/18,1310
E07000035,1/1/18,280
E07000036,1/1/18,1680
E07000037,1/1/18,665
E07000038,1/1/18,770
E07000039,1/1/18,460
E07000040,1/1/18,695
E07000041,1/1/18,860
E07000042,1/1/18,435
E07000043,1/1/18,605
E07000044,1/1/18,385
E07000045,1/1/18,715
E07000046,1/1/18,485
E07000047,1/1/18,265
E07000061,1/1/18,1200
E07000062,1/1/18,2415
E07000063,1/1/18,710
E07000064,1/1/18,990
E07000065,1/1/18,605
E07000066,1/1/18,1915
E07000067,1/1/18,1020
E07000068,1/1/18,395
E07000069,1/1/18,530
E07000070,1/1/18,1160
E07000071,1/1/18,1380
E07000072,1/1/18,975
E07000073,1/1/18,1200
E07000074,1/1/18,385
E07000075,1/1/18,425
E07000076,1/1/18,2210
E07000077,1/1/18,275
E07000078,1/1/18,690
E07000079,1/1/18,335
E07000080,1/1/18,620
E07000081,1/1/18,1240
E07000082,1/1/18,580
E07000083,1/1/18,430
E07000084,1/1/18,1025
E07000085,1/1/18,420
E07000086,1/1/18,780
E07000087,1/1/18,535
E07000088,1/1/18,750
E07000089,1/1/18,305
E07000090,1/1/18,1195
E07000091,1/1/18,835
E07000092,1/1/18,560
E07000093,1/1/18,500
E07000094,1/1/18,475
E07000095,1/1/18,785
E07000096,1/1/18,1140
E07000098,1/1/18,785
E07000099,1/1/18,945
E07000102,1/1/18,535
E07000103,1/1/18,885
E07000105,1/1/18,1320
E07000106,1/1/18,1405
E07000107,1/1/18,765
E07000108,1/1/18,1985
E07000109,1/1/18,1370
E07000110,1/1/18,1260
E07000111,1/1/18,530
E07000112,1/1/18,1510
E07000113,1/1/18,2010
E07000114,1/1/18,3420
E07000115,1/1/18,780
E07000116,1/1/18,670
E07000117,1/1/18,2340
E07000118,1/1/18,1135
E07000119,1/1/18,660
E07000120,1/1/18,1360
E07000121,1/1/18,2395
E07000122,1/1/18,1155
E07000123,1/1/18,2125
E07000124,1/1/18,290
E07000125,1/1/18,930
E07000126,1/1/18,935
E07000127,1/1/18,1185
E07000128,1/1/18,1040
E07000129,1/1/18,445
E07000130,1/1/18,900
E07000131,1/1/18,420
E07000132,1/1/18,910
E07000133,1/1/18,510
E07000134,1/1/18,530
E07000135,1/1/18,270
E07000136,1/1/18,625
E07000137,1/1/18,2045
E07000138,1/1/18,1640
E07000139,1/1/18,640
E07000140,1/1/18,655
E07000141,1/1/18,1230
E07000142,1/1/18,1105
E07000143,1/1/18,875
E07000144,1/1/18,530
E07000145,1/1/18,3015
E07000146,1/1/18,920
E07000147,1/1/18,540
E07000148,1/1/18,1605
E07000149,1/1/18,650
E07000170,1/1/18,1620
E07000171,1/1/18,1170
E07000172,1/1/18,1080
E07000173,1/1/18,1105
E07000174,1/1/18,1425
E07000175,1/1/18,990
E07000176,1/1/18,645
E07000177,1/1/18,560
E07000178,1/1/18,1105
E07000179,1/1/18,485
E07000180,1/1/18,570
E07000181,1/1/18,405
E07000192,1/1/18,825
E07000193,1/1/18,760
E07000194,1/1/18,485
E07000195,1/1/18,1115
E07000196,1/1/18,835
E07000197,1/1/18,755
E07000198,1/1/18,575
E07000199,1/1/18,555
E07000200,1/1/18,450
E07000202,1/1/18,1770
E07000203,1/1/18,455
E07000207,1/1/18,530
E07000208,1/1/18,370
E07000209,1/1/18,570
E07000210,1/1/18,290
E07000211,1/1/18,730
E07000212,1/1/18,390
E07000213,1/1/18,575
E07000214,1/1/18,370
E07000215,1/1/18,490
E07000216,1/1/18,380
E07000217,1/1/18,420
E07000218,1/1/18,425
E07000219,1/1/18,1525
E07000220,1/1/18,1305
E07000221,1/1/18,615
E07000222,1/1/18,680
E07000223,1/1/18,520
E07000224,1/1/18,1180
E07000225,1/1/18,700
E07000226,1/1/18,950
E07000227,1/1/18,625
E07000228,1/1/18,430
E07000229,1/1/18,920
E07000234,1/1/18,695
E07000235,1/1/18,510
E07000236,1/1/18,945
E07000237,1/1/18,1020
E07000238,1/1/18,720
E07000239,1/1/18,905
E07000240,1/1/18,840
E07000241,1/1/18,950
E07000242,1/1/18,640
E07000243,1/1/18,935
E07000244,1/1/18,2900
E07000245,1/1/18,1230
E08000001,1/1/18,5620
E08000002,1/1/18,2795
E08000003,1/1/18,9700
E08000004,1/1/18,5390
E08000005,1/1/18,3865
E08000006,1/1/18,4360
E08000007,1/1/18,3355
E08000008,1/1/18,3725
E08000009,1/1/18,2615
E08000010,1/1/18,5295
E08000011,1/1/18,3130
E08000012,1/1/18,11270
E08000013,1/1/18,2955
E08000014,1/1/18,4515
E08000015,1/1/18,4325
E08000016,1/1/18,4275
E08000017,1/1/18,4945
E08000018,1/1/18,4250
E08000019,1/1/18,8940
E08000021,1/1/18,7600
E08000022,1/1/18,3395
E08000023,1/1/18,4245
E08000024,1/1/18,5570
E08000025,1/1/18,31170
E08000026,1/1/18,4165
E08000027,1/1/18,6460
E08000028,1/1/18,7090
E08000029,1/1/18,2585
E08000030,1/1/18,4870
E08000031,1/1/18,6765
E08000032,1/1/18,8670
E08000033,1/1/18,3735
E08000034,1/1/18,6120
E08000035,1/1/18,11400
E08000036,1/1/18,4040
E08000037,1/1/18,3910
E09000001,1/1/18,65
E09000002,1/1/18,3170
E09000003,1/1/18,3490
E09000004,1/1/18,2165
E09000005,1/1/18,4820
E09000006,1/1/18,2280
E09000007,1/1/18,2735
E09000008,1/1/18,8690
E09000009,1/1/18,4970
