year,quarter,lad_code,claimant_rate
2018,Q1,E06000001,7.067
2018,Q1,E06000002,4.8
2018,Q1,E06000003,3.767
2018,Q1,E06000004,3.2
2018,Q1,E06000005,3.567
2018,Q1,E06000006,3.7
2018,Q1,E06000007,2.2
2018,Q1,E06000008,2.933
2018,Q1,E06000009,4.733
2018,Q1,E06000010,3.7
2018,Q1,E06000011,1.567
2018,Q1,E06000012,3.633
2018,Q1,E06000013,2.5
2018,Q1,E06000014,1.1
2018,Q1,E06000015,1.867
2018,Q1,E06000016,1.7
2018,Q1,E06000017,0.667
2018,Q1,E06000018,3.3
2018,Q1,E06000019,1.1
2018,Q1,E06000020,1.8
2018,Q1,E06000021,2.667
2018,Q1,E06000022,1.667
2018,Q1,E06000023,1.667
2018,Q1,E06000024,1.467
2018,Q1,E06000025,0.9
2018,Q1,E06000026,2.133
2018,Q1,E06000027,2.267
2018,Q1,E06000030,2.033
2018,Q1,E06000031,1.633
2018,Q1,E06000032,1.8
2018,Q1,E06000033,2.6
2018,Q1,E06000034,1.833
2018,Q1,E06000035,1.933
2018,Q1,E06000036,0.767
2018,Q1,E06000037,0.7
2018,Q1,E06000038,1.4
2018,Q1,E06000039,1.267
2018,Q1,E06000040,0.767
2018,Q1,E06000041,0.533
2018,Q1,E06000042,1.467
2018,Q1,E06000043,1.7
2018,Q1,E06000044,1.767
2018,Q1,E06000045,2.367
2018,Q1,E06000046,2.1
2018,Q1,E06000047,2.967
2018,Q1,E06000049,1.4
2018,Q1,E06000050,1.7
2018,Q1,E06000051,1.233
2018,Q1,E06000052,1.467
2018,Q1,E06000053,0.433
2018,Q1,E06000054,1.233
2018,Q1,E06000055,2.567
2018,Q1,E06000056,0.9
2018,Q1,E06000057,2.733
2018,Q1,E06000058,1.433
2018,Q1,E06000059,1.033
2018,Q1,E06000060,0.9
2018,Q1,E06000061,1.767
2018,Q1,E06000062,1.467
2018,Q1,E06000063,2.333
2018,Q1,E06000064,1.267
2018,Q1,E06000065,1.567
2018,Q1,E06000066,2.067
2018,Q1,E07000008,0.7
2018,Q1,E07000009,0.733
2018,Q1,E07000010,1.167
2018,Q1,E07000011,0.767
2018,Q1,E07000012,0.5
2018,Q1,E07000032,1.333
2018,Q1,E07000033,1.533
2018,Q1,E07000034,2.2
2018,Q1,E07000035,0.7
2018,Q1,E07000036,2.567
2018,Q1,E07000037,1.267
2018,Q1,E07000038,1.367
2018,Q1,E07000039,0.767
2018,Q1,E07000040,0.9
2018,Q1,E07000041,1.067
2018,Q1,E07000042,0.967
2018,Q1,E07000043,1.1
2018,Q1,E07000044,0.8
2018,Q1,E07000045,0.933
2018,Q1,E07000046,1.367
2018,Q1,E07000047,0.833
2018,Q1,E07000061,2.2
2018,Q1,E07000062,4.333
2018,Q1,E07000063,1.267
2018,Q1,E07000064,2.167
2018,Q1,E07000065,0.7
2018,Q1,E07000066,1.8
2018,Q1,E07000067,1.2
2018,Q1,E07000068,0.933
2018,Q1,E07000069,1.067
2018,Q1,E07000070,1.067
2018,Q1,E07000071,1.167
2018,Q1,E07000072,1.2
2018,Q1,E07000073,2.267
2018,Q1,E07000074,1.033
2018,Q1,E07000075,0.867
2018,Q1,E07000076,2.8
2018,Q1,E07000077,0.567
2018,Q1,E07000078,1.0
2018,Q1,E07000079,0.7
2018,Q1,E07000080,1.367
2018,Q1,E07000081,1.567
2018,Q1,E07000082,0.933
2018,Q1,E07000083,0.867
2018,Q1,E07000084,0.967
2018,Q1,E07000085,0.6
2018,Q1,E07000086,1.067
2018,Q1,E07000087,0.8
2018,Q1,E07000088,1.533
2018,Q1,E07000089,0.5
2018,Q1,E07000090,1.633
2018,Q1,E07000091,0.867
2018,Q1,E07000092,0.833
2018,Q1,E07000093,0.7
2018,Q1,E07000094,0.633
2018,Q1,E07000095,1.4
2018,Q1,E07000096,1.2
2018,Q1,E07000098,1.2
2018,Q1,E07000099,1.2
2018,Q1,E07000102,0.933
2018,Q1,E07000103,1.4
2018,Q1,E07000105,1.733
2018,Q1,E07000106,1.467
2018,Q1,E07000107,1.133
2018,Q1,E07000108,3.033
2018,Q1,E07000109,2.167
2018,Q1,E07000110,1.2
2018,Q1,E07000111,0.8
2018,Q1,E07000112,2.433
2018,Q1,E07000113,2.333
2018,Q1,E07000114,4.367
2018,Q1,E07000115,1.0
2018,Q1,E07000116,1.0
2018,Q1,E07000117,4.333
2018,Q1,E07000118,1.6
2018,Q1,E07000119,1.467
2018,Q1,E07000120,2.833
2018,Q1,E07000121,2.867
2018,Q1,E07000122,2.1
2018,Q1,E07000123,2.367
2018,Q1,E07000124,0.867
2018,Q1,E07000125,2.167
2018,Q1,E07000126,1.467
2018,Q1,E07000127,1.833
2018,Q1,E07000128,1.733
2018,Q1,E07000129,0.767
2018,Q1,E07000130,0.833
2018,Q1,E07000131,0.867
2018,Q1,E07000132,1.367
2018,Q1,E07000133,1.833
2018,Q1,E07000134,0.867
2018,Q1,E07000135,0.8
2018,Q1,E07000136,1.567
2018,Q1,E07000137,2.6
2018,Q1,E07000138,2.367
2018,Q1,E07000139,0.967
2018,Q1,E07000140,1.233
2018,Q1,E07000141,1.667
2018,Q1,E07000142,2.067
2018,Q1,E07000143,1.167
2018,Q1,E07000144,0.8
2018,Q1,E07000145,5.3
2018,Q1,E07000146,1.067
2018,Q1,E07000147,1.067
2018,Q1,E07000148,1.7
2018,Q1,E07000149,0.833
2018,Q1,E07000170,2.167
2018,Q1,E07000171,1.767
2018,Q1,E07000172,1.6
2018,Q1,E07000173,1.6
2018,Q1,E07000174,2.167
2018,Q1,E07000175,1.367
2018,Q1,E07000176,0.967
2018,Q1,E07000177,0.633
2018,Q1,E07000178,1.0
2018,Q1,E07000179,0.6
2018,Q1,E07000180,0.767
2018,Q1,E07000181,0.667
2018,Q1,E07000192,1.4
2018,Q1,E07000193,1.1
2018,Q1,E07000194,0.933
2018,Q1,E07000195,1.467
2018,Q1,E07000196,1.3
2018,Q1,E07000197,0.967
2018,Q1,E07000198,1.067
2018,Q1,E07000199,1.367
2018,Q1,E07000200,1.0
2018,Q1,E07000202,2.033
2018,Q1,E07000203,0.8
2018,Q1,E07000207,0.6
2018,Q1,E07000208,0.767
2018,Q1,E07000209,0.6
2018,Q1,E07000210,0.6
2018,Q1,E07000211,0.8
2018,Q1,E07000212,0.7
2018,Q1,E07000213,0.9
2018,Q1,E07000214,0.7
2018,Q1,E07000215,1.0
2018,Q1,E07000216,0.533
2018,Q1,E07000217,0.667
2018,Q1,E07000218,1.233
2018,Q1,E07000219,2.1
2018,Q1,E07000220,2.0
2018,Q1,E07000221,0.867
2018,Q1,E07000222,0.767
2018,Q1,E07000223,1.433
