year,quarter,cpi
2005,Q1,78.53333333
2005,Q2,79.3
2005,Q3,79.7
2005,Q4,80.1
2006,Q1,80.2
2006,Q2,81.23333333
2006,Q3,81.73333333
2006,Q4,82.26666667
2007,Q1,82.43333333
2007,Q2,83.3
2007,Q3,83.33333333
2007,Q4,84.13333333
2008,Q1,84.53333333
2008,Q2,86.1
2008,Q3,87.06666667
2008,Q4,87.23333333
2009,Q1,87.03333333
2009,Q2,87.83333333
2009,Q3,88.2
2009,Q4,88.63333333
2010,Q1,89.06666667
2010,Q2,90.06666667
2010,Q3,90.26666667
2010,Q4,91.06666667
2011,Q1,92.23333333
2011,Q2,93.43333333
2011,Q3,93.96666667
2011,Q4,94.73333333
2012,Q1,95.1
2012,Q2,95.8
2012,Q3,96.06666667
2012,Q4,97.03333333
2013,Q1,97.43333333
2013,Q2,98.06666667
2013,Q3,98.36666667
2013,Q4,98.93333333
2014,Q1,99.03333333
2014,Q2,99.66666667
2014,Q3,99.83333333
2014,Q4,99.96666667
2015,Q1,99.43333333
2015,Q2,100.0333333
2015,Q3,100.1666667
2015,Q4,100.3333333
2016,Q1,100.1333333
2016,Q2,100.8
2016,Q3,101.2
2016,Q4,101.8666667
2017,Q1,102.3
2017,Q2,103.4
2017,Q3,103.9333333
2017,Q4,104.7
2018,Q1,104.8333333
2018,Q2,105.7666667
2018,Q3,106.3333333
2018,Q4,106.9
2019,Q1,106.7333333
2019,Q2,107.8
2019,Q3,108.2333333
2019,Q4,108.4333333
2020,Q1,108.5
2020,Q2,108.6666667
2020,Q3,109.0666667
2020,Q4,109.2333333
2021,Q1,109.4666667
2021,Q2,110.9333333
2021,Q3,111.9666667
2021,Q4,114.0666667
2022,Q1,115.5
2022,Q2,119.7333333
2022,Q3,121.7666667
2022,Q4,124.8
2023,Q1,125.8666667
2023,Q2,128.9333333
2023,Q3,129.5
2023,Q4,130.2333333
2024,Q1,130.8
2024,Q2,132.6333333
2024,Q3,133.2666667
2024,Q4,134.6666667
2025,Q1,135.6
2025,Q2,138.0333333
2025,Q3,138.7666667
2025,Q4,139.6
2026,Q1,139.7
