year,quarter,lad_code,claimant_count
2018,Q1,E06000001,4007
2018,Q1,E06000002,4240
2018,Q1,E06000003,3050
2018,Q1,E06000004,3955
2018,Q1,E06000005,2327
2018,Q1,E06000006,2958
2018,Q1,E06000007,2925
2018,Q1,E06000008,2807
2018,Q1,E06000009,4133
2018,Q1,E06000010,6467
2018,Q1,E06000011,3058
2018,Q1,E06000012,3523
2018,Q1,E06000013,2607
2018,Q1,E06000014,1515
2018,Q1,E06000015,3063
2018,Q1,E06000016,4237
2018,Q1,E06000017,152
2018,Q1,E06000018,7413
2018,Q1,E06000019,1218
2018,Q1,E06000020,2018
2018,Q1,E06000021,4268
2018,Q1,E06000022,2050
2018,Q1,E06000023,5352
2018,Q1,E06000024,1847
2018,Q1,E06000025,1547
2018,Q1,E06000026,3647
2018,Q1,E06000027,1792
2018,Q1,E06000030,2993
2018,Q1,E06000031,2167
2018,Q1,E06000032,2567
2018,Q1,E06000033,2950
2018,Q1,E06000034,2018
2018,Q1,E06000035,3423
2018,Q1,E06000036,603
2018,Q1,E06000037,692
2018,Q1,E06000038,1693
2018,Q1,E06000039,1290
2018,Q1,E06000040,708
2018,Q1,E06000041,565
2018,Q1,E06000042,2708
2018,Q1,E06000043,3442
2018,Q1,E06000044,2472
2018,Q1,E06000045,4113
2018,Q1,E06000046,1698
2018,Q1,E06000047,9452
2018,Q1,E06000049,3227
2018,Q1,E06000050,3640
2018,Q1,E06000051,2327
2018,Q1,E06000052,4722
2018,Q1,E06000053,5
2018,Q1,E06000054,3738
2018,Q1,E06000055,2895
2018,Q1,E06000056,1565
2018,Q1,E06000057,5098
2018,Q1,E06000058,3602
2018,Q1,E06000059,2118
2018,Q1,E06000060,3028
2018,Q1,E06000061,3838
2018,Q1,E06000062,3892
2018,Q1,E06000063,3828
2018,Q1,E06000064,1698
2018,Q1,E06000065,5542
2018,Q1,E06000066,6832
2018,Q1,E07000008,732
2018,Q1,E07000009,392
2018,Q1,E07000010,715
2018,Q1,E07000011,860
2018,Q1,E07000012,485
2018,Q1,E07000032,1010
2018,Q1,E07000033,755
2018,Q1,E07000034,1427
2018,Q1,E07000035,287
2018,Q1,E07000036,1798
2018,Q1,E07000037,697
2018,Q1,E07000038,815
2018,Q1,E07000039,485
2018,Q1,E07000040,690
2018,Q1,E07000041,893
2018,Q1,E07000042,452
2018,Q1,E07000043,608
2018,Q1,E07000044,397
2018,Q1,E07000045,727
2018,Q1,E07000046,512
2018,Q1,E07000047,272
2018,Q1,E07000061,1328
2018,Q1,E07000062,2498
2018,Q1,E07000063,735
2018,Q1,E07000064,1062
2018,Q1,E07000065,620
2018,Q1,E07000066,2112
2018,Q1,E07000067,1105
2018,Q1,E07000068,452
2018,Q1,E07000069,552
2018,Q1,E07000070,1195
2018,Q1,E07000071,1407
2018,Q1,E07000072,1000
2018,Q1,E07000073,1313
2018,Q1,E07000074,392
2018,Q1,E07000075,438
2018,Q1,E07000076,2228
2018,Q1,E07000077,307
2018,Q1,E07000078,770
2018,Q1,E07000079,360
2018,Q1,E07000080,695
2018,Q1,E07000081,1290
2018,Q1,E07000082,650
2018,Q1,E07000083,455
2018,Q1,E07000084,1072
2018,Q1,E07000085,432
2018,Q1,E07000086,857
2018,Q1,E07000087,540
2018,Q1,E07000088,787
2018,Q1,E07000089,305
2018,Q1,E07000090,1205
2018,Q1,E07000091,880
2018,Q1,E07000092,567
2018,Q1,E07000093,515
2018,Q1,E07000094,487
2018,Q1,E07000095,863
2018,Q1,E07000096,1152
2018,Q1,E07000098,803
2018,Q1,E07000099,972
2018,Q1,E07000102,557
2018,Q1,E07000103,940
2018,Q1,E07000105,1358
2018,Q1,E07000106,1452
2018,Q1,E07000107,808
2018,Q1,E07000108,2078
2018,Q1,E07000109,1420
2018,Q1,E07000110,1290
2018,Q1,E07000111,537
2018,Q1,E07000112,1568
2018,Q1,E07000113,2125
2018,Q1,E07000114,3595
2018,Q1,E07000115,782
2018,Q1,E07000116,678
2018,Q1,E07000117,2445
2018,Q1,E07000118,1155
2018,Q1,E07000119,668
2018,Q1,E07000120,1420
2018,Q1,E07000121,2535
2018,Q1,E07000122,1205
2018,Q1,E07000123,2182
2018,Q1,E07000124,307
2018,Q1,E07000125,963
2018,Q1,E07000126,973
2018,Q1,E07000127,1295
2018,Q1,E07000128,1063
2018,Q1,E07000129,472
2018,Q1,E07000130,958
2018,Q1,E07000131,470
2018,Q1,E07000132,952
2018,Q1,E07000133,563
2018,Q1,E07000134,553
2018,Q1,E07000135,277
2018,Q1,E07000136,662
2018,Q1,E07000137,2028
2018,Q1,E07000138,1688
2018,Q1,E07000139,657
2018,Q1,E07000140,668
2018,Q1,E07000141,1380
2018,Q1,E07000142,1147
2018,Q1,E07000143,928
2018,Q1,E07000144,588
2018,Q1,E07000145,3127
2018,Q1,E07000146,945
2018,Q1,E07000147,567
2018,Q1,E07000148,1668
2018,Q1,E07000149,665
2018,Q1,E07000170,1662
2018,Q1,E07000171,1262
2018,Q1,E07000172,1078
2018,Q1,E07000173,1152
2018,Q1,E07000174,1482
2018,Q1,E07000175,1013
2018,Q1,E07000176,665
2018,Q1,E07000177,610
2018,Q1,E07000178,1207
2018,Q1,E07000179,523
2018,Q1,E07000180,623
2018,Q1,E07000181,445
2018,Q1,E07000192,868
2018,Q1,E07000193,823
2018,Q1,E07000194,573
2018,Q1,E07000195,1177
2018,Q1,E07000196,858
2018,Q1,E07000197,795
2018,Q1,E07000198,613
2018,Q1,E07000199,662
2018,Q1,E07000200,512
2018,Q1,E07000202,1833
2018,Q1,E07000203,473
2018,Q1,E07000207,528
2018,Q1,E07000208,378
2018,Q1,E07000209,585
2018,Q1,E07000210,292
2018,Q1,E07000211,758
2018,Q1,E07000212,393
2018,Q1,E07000213,578
2018,Q1,E07000214,370
2018,Q1,E07000215,520
2018,Q1,E07000216,397
2018,Q1,E07000217,432
2018,Q1,E07000218,472
2018,Q1,E07000219,1713
2018,Q1,E07000220,1365
2018,Q1,E07000221,672
