local authority: district / unitary (as of April 2023),lad_code,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr,24-May,24-Jun,24-Jul,24-Aug,24-Sep,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,26-Feb
Hartlepool,E06000001,3890,4055,4075,4275,4000,3965,3860,3910,3920,3965,3970,3960,3965,3975,3985,3855,3750,3640,3525,3500,3340,3335,3300,3270,3395,3540,3465,4940,5375,5255,5315,5275,5170,4965,4850,4835,4860,4985,4975,4840,4535,4255,4135,3970,3895,3775,3675,3560,3510,3460,3225,3015,3085,2950,2925,2915,2915,2905,3010,3080,3020,2925,3040,3050,2960,2945,3005,2945,2850,2840,2855,2855,2875,2925,2885,2880,2860,2850,3050,3020,2925,2760,2715,2610,2700,2760,2755,2735,2660,2620,2665,2700,2615,2595,2555,2560,2625,2765
Middlesbrough,E06000002,4135,4275,4310,4155,4015,3910,3805,3805,3775,3670,3625,3910,4365,4565,4785,4850,4920,5030,5160,5180,4935,5030,5185,5215,5295,5435,5490,8055,8830,8905,9015,9070,9005,8900,8885,8830,8815,9160,9240,9065,8640,8065,7925,7550,7375,7030,6750,6595,6555,6430,6075,5655,5615,5400,5305,5305,5360,5410,5515,5590,5440,5475,5590,5610,5285,5240,5215,5165,5045,5000,5005,4960,5015,5165,5395,5340,5305,5340,5890,5745,5665,5680,5415,5290,5370,5265,5285,5150,5090,5090,4960,5015,4965,4975,4805,4715,4755,4990
Redcar and Cleveland,E06000003,2985,3090,3075,3035,2915,2710,2635,2600,2610,2600,2575,2625,2875,3030,3215,3270,3330,3285,3340,3395,3405,3500,3515,3640,3720,3815,3845,5665,6180,6010,6020,6080,6090,5935,5810,5760,5665,5900,5890,5725,5365,5005,4795,4655,4515,4240,4055,3900,3935,3985,3810,3470,3425,3400,3320,3295,3290,3275,3330,3360,3400,3470,3575,3535,3265,3230,3190,3225,3105,3190,3205,3220,3295,3435,3395,3305,3210,3180,3350,3405,3365,3180,3175,3175,3185,3235,3160,3070,2900,2930,2925,2920,2865,2880,2885,2885,2970,3135
Stockton-on-Tees,E06000004,3915,3960,3990,3955,3915,3720,3665,3725,3845,4045,4185,4410,4600,4795,4835,4805,4855,4970,4990,4970,4895,4950,4985,5070,5170,5290,5310,7850,8745,8620,8645,8730,8620,8480,8380,8120,8035,8395,8400,8235,7680,7175,6940,6690,6420,6180,5950,5805,5700,5725,5525,5250,5175,5005,4965,5050,5040,4890,4840,4880,4905,4990,5140,5185,4855,4850,4830,4835,4785,4625,4625,4670,4655,4755,4865,4855,4860,4845,5230,5230,5200,5090,4980,4850,4855,4865,4945,4810,4695,4740,4745,4840,4750,4630,4690,4610,4645,4840
Darlington,E06000005,2290,2355,2335,2385,2325,2310,2265,2365,2455,2500,2590,2590,2650,2730,2725,2760,2780,2835,2865,2915,2905,2940,2990,3010,3020,3090,3145,4565,4880,4735,4585,4600,4565,4510,4435,4460,4485,4660,4705,4605,4410,4125,4060,3890,3700,3600,3400,3290,3210,3150,2980,2825,2760,2705,2715,2765,2820,2775,2800,2820,2785,2805,2855,2905,2790,2785,2865,2870,2820,2785,2775,2765,2795,2845,2810,2740,2690,2725,2945,2960,2860,2725,2720,2585,2600,2645,2620,2570,2550,2525,2475,2520,2455,2435,2355,2320,2400,2495
County Durham,E06000047,8860,9540,9955,10490,10415,10340,10445,10830,11435,11845,12030,12170,12450,12705,12715,12585,12480,12610,12530,12535,12355,12745,12690,12765,12740,13160,13090,19915,21620,21365,21265,21600,21410,20790,20480,20035,19925,20475,20225,19895,18795,17675,17265,16730,16185,15570,14690,14140,13925,13815,13165,12365,11890,11450,11195,11135,11205,10805,10930,10915,10540,10645,10955,11015,10385,10425,10440,10450,10120,10205,10440,10445,10505,10705,10645,10580,10525,10555,11405,11555,11615,11405,11280,10875,10770,11040,10770,10505,10160,10115,9970,10120,9920,10085,10040,10050,10140,10485
Northumberland,E06000057,5010,5075,5210,5165,5010,4785,4600,4635,4595,4605,4630,4790,5135,5440,5680,5785,5850,5750,5790,6000,6090,6285,6390,6450,6455,6665,6765,10915,11850,11265,11330,11475,11165,10815,10985,10915,10940,11275,11185,10865,10060,9280,8965,8610,8210,8030,7725,7505,7500,7420,7135,6550,6275,6080,5955,6045,5945,5945,6150,6280,6350,6350,6375,6295,5975,5930,5920,5770,5700,5730,5850,5775,5815,5945,5875,5760,5775,5755,6130,6125,6045,5930,5865,5740,5755,5945,5935,5695,5450,5415,5290,5260,5225,5155,5205,5275,5345,5720
Newcastle upon Tyne,E08000021,7600,7945,8000,8545,8235,8135,8085,8210,8250,8385,8445,8680,8670,9070,9170,9100,8990,8995,8935,8940,8890,8935,8965,8970,9050,9305,9330,14000,15335,15185,15465,15610,15540,15220,15440,15230,15105,15510,15520,15200,14435,13570,13335,12930,12430,11860,11460,11090,10855,10855,10585,9845,9490,9320,9105,9085,8985,8810,9045,9150,9045,9070,9360,9525,8925,8915,8905,8735,8625,8490,8540,8350,8365,8440,8460,8470,8685,8830,9810,9640,9565,9500,9365,9125,9125,9160,9105,8785,8705,8795,8730,8790,8700,8455,8380,8390,8465,8765
North Tyneside,E08000022,3395,3430,3565,3555,3445,3380,3405,3610,3750,3945,4095,4200,4310,4565,4715,4810,4790,4710,4670,4580,4530,4610,4630,4595,4615,4770,4815,7680,8310,8120,8215,8255,8260,8050,8080,8015,7960,8250,8105,7840,7465,6900,6735,6455,6155,5890,5630,5380,5355,5355,5205,4775,4660,4475,4445,4440,4350,4255,4345,4485,4470,4455,4565,4495,4355,4375,4475,4380,4380,4360,4300,4305,4310,4345,4370,4275,4355,4425,4670,4645,4650,4660,4595,4520,4415,4515,4445,4190,4150,4155,4125,4125,4090,4090,4205,4175,4275,4515
South Tyneside,E08000023,4245,4345,4515,4500,4415,4150,4290,4340,4585,4755,4890,5055,5230,5525,5605,5655,5610,5595,5525,5490,5360,5460,5490,5530,5630,5720,5790,8395,8815,8670,8790,8850,8665,8445,8385,8215,8265,8380,8405,8245,7835,7435,7230,6990,6660,6435,6125,6000,5985,5975,5850,5585,5370,5350,5310,5185,5210,5060,5040,5100,5060,5135,5220,5205,5005,4955,4975,4840,4745,4675,4630,4655,4660,4790,4815,4715,4685,4715,4930,4905,4855,4860,4765,4730,4655,4690,4650,4495,4360,4395,4290,4370,4180,4250,4335,4350,4300,4530
