Code,Name,year,median_house_price,median_gross,median_ratio,lowerq_house_price,lowerq_gross,lowerq_ratio,hp_gap,gr_gap,ratio_gap
K04000001,England and Wales,1997,59950.0,16885,3.55,42500,12016,3.54,17450.0,4869,0.009999999999999787
E92000001,England,1997,59995.0,16958,3.54,43000,12058,3.57,16995.0,4900,-0.029999999999999805
W92000004,Wales,1997,47000.0,15679,3.0,35000,11124,3.15,12000.0,4555,-0.1499999999999999
E12000001,North East,1997,46500.0,15622,2.98,32000,11197,2.86,14500.0,4425,0.1200000000000001
E12000002,North West,1997,48500.0,16107,3.01,34450,11542,2.98,14050.0,4565,0.029999999999999805
E12000003,Yorkshire and The Humber,1997,48500.0,15538,3.12,35000,11275,3.1,13500.0,4263,0.020000000000000018
E12000004,East Midlands,1997,49950.0,15773,3.17,37000,11448,3.23,12950.0,4325,-0.06000000000000005
E12000005,West Midlands,1997,54000.0,15878,3.4,40000,11515,3.47,14000.0,4363,-0.07000000000000028
E12000006,East of England,1997,62000.0,16858,3.68,45000,12251,3.67,17000.0,4607,0.010000000000000231
E12000007,London,1997,83500.0,20871,4.0,59500,15022,3.96,24000.0,5849,0.040000000000000036
E12000008,South East,1997,72500.0,17375,4.17,53000,12491,4.24,19500.0,4884,-0.07000000000000028
E12000009,South West,1997,59950.0,15841,3.78,45000,11296,3.98,14950.0,4545,-0.20000000000000018
K04000001,England and Wales,1998,64500.0,17631,3.66,45000,12533,3.59,19500.0,5098,0.07000000000000028
E92000001,England,1998,65000.0,17709,3.67,45000,12606,3.57,20000.0,5103,0.10000000000000009
W92000004,Wales,1998,49000.0,16118,3.04,35875,11526,3.11,13125.0,4592,-0.06999999999999984
E12000001,North East,1998,47500.0,15778,3.01,32000,11395,2.81,15500.0,4383,0.19999999999999973
E12000002,North West,1998,50000.0,16587,3.01,35000,11876,2.95,15000.0,4711,0.05999999999999961
E12000003,Yorkshire and The Humber,1998,49950.0,16368,3.05,35500,11740,3.02,14450.0,4628,0.029999999999999805
E12000004,East Midlands,1998,53000.0,16279,3.26,38500,11714,3.29,14500.0,4565,-0.03000000000000025
E12000005,West Midlands,1998,56000.0,16718,3.35,41000,12037,3.41,15000.0,4681,-0.06000000000000005
E12000006,East of England,1998,67750.0,17584,3.85,48000,12669,3.79,19750.0,4915,0.06000000000000005
E12000007,London,1998,94950.0,21862,4.34,66995,15653,4.28,27955.0,6209,0.05999999999999961
E12000008,South East,1998,81000.0,18278,4.43,58000,13123,4.42,23000.0,5155,0.009999999999999787
E12000009,South West,1998,65000.0,16425,3.96,48000,11876,4.04,17000.0,4549,-0.08000000000000007
K04000001,England and Wales,1999,70000.0,17974,3.89,48000,12844,3.74,22000.0,5130,0.1499999999999999
E92000001,England,1999,71000.0,17939,3.96,48500,12852,3.77,22500.0,5087,0.18999999999999995
W92000004,Wales,1999,52000.0,16457,3.16,37000,11751,3.15,15000.0,4706,0.010000000000000231
E12000001,North East,1999,50000.0,16282,3.07,33000,11736,2.81,17000.0,4546,0.2599999999999998
E12000002,North West,1999,52500.0,16977,3.09,36000,12200,2.95,16500.0,4777,0.13999999999999968
E12000003,Yorkshire and The Humber,1999,52000.0,16527,3.15,37000,12012,3.08,15000.0,4515,0.06999999999999984
E12000004,East Midlands,1999,56000.0,16392,3.42,40000,11961,3.34,16000.0,4431,0.08000000000000007
E12000005,West Midlands,1999,59950.0,17000,3.53,43500,12332,3.53,16450.0,4668,0.0
E12000006,East of England,1999,73995.0,18000,4.11,52500,13086,4.01,21495.0,4914,0.10000000000000053
E12000007,London,1999,111000.0,22487,4.94,76000,16090,4.72,35000.0,6397,0.22000000000000064
E12000008,South East,1999,89000.0,18737,4.75,63500,13608,4.67,25500.0,5129,0.08000000000000007
E12000009,South West,1999,71000.0,16727,4.24,52500,12062,4.35,18500.0,4665,-0.10999999999999943
K04000001,England and Wales,2000,78500.0,19000,4.13,52000,13700,3.8,26500.0,5300,0.33000000000000007
E92000001,England,2000,79995.0,19107,4.19,53000,13778,3.85,26995.0,5329,0.3400000000000003
W92000004,Wales,2000,56000.0,17157,3.26,39000,12567,3.1,17000.0,4590,0.1599999999999997
E12000001,North East,2000,52000.0,17430,2.98,34000,12663,2.68,18000.0,4767,0.2999999999999998
E12000002,North West,2000,56000.0,17863,3.13,37350,12856,2.91,18650.0,5007,0.21999999999999975
E12000003,Yorkshire and The Humber,2000,55000.0,17503,3.14,38500,12787,3.01,16500.0,4716,0.13000000000000034
E12000004,East Midlands,2000,60000.0,17352,3.46,43000,12749,3.37,17000.0,4603,0.08999999999999986
E12000005,West Midlands,2000,65500.0,17812,3.68,46000,13044,3.53,19500.0,4768,0.15000000000000036
E12000006,East of England,2000,84000.0,19020,4.42,59950,13859,4.33,24050.0,5161,0.08999999999999986
E12000007,London,2000,134000.0,24204,5.54,91000,17362,5.24,43000.0,6842,0.2999999999999998
E12000008,South East,2000,106950.0,19992,5.35,74375,14617,5.09,32575.0,5375,0.2599999999999998
E12000009,South West,2000,82000.0,17847,4.59,59950,12871,4.66,22050.0,4976,-0.07000000000000028
K04000001,England and Wales,2001,87950.0,19898,4.42,57000,14265,4.0,30950.0,5633,0.41999999999999993
E92000001,England,2001,89950.0,19997,4.5,58500,14337,4.08,31450.0,5660,0.41999999999999993
W92000004,Wales,2001,59950.0,18018,3.33,40500,13045,3.1,19450.0,4973,0.22999999999999998
E12000001,North East,2001,53800.0,17844,3.02,34500,12867,2.68,19300.0,4977,0.33999999999999986
E12000002,North West,2001,59950.0,18567,3.23,38500,13389,2.88,21450.0,5178,0.3500000000000001
E12000003,Yorkshire and The Humber,2001,59000.0,18270,3.23,39750,13162,3.02,19250.0,5108,0.20999999999999996
E12000004,East Midlands,2001,68000.0,18291,3.72,47000,13288,3.54,21000.0,5003,0.18000000000000016
E12000005,West Midlands,2001,73500.0,18756,3.92,51000,13618,3.75,22500.0,5138,0.16999999999999993
E12000006,East of England,2001,95500.0,19978,4.78,69000,14439,4.78,26500.0,5539,0.0
E12000007,London,2001,150000.0,25215,5.95,109000,18210,5.99,41000.0,7005,-0.040000000000000036
E12000008,South East,2001,123000.0,20907,5.88,85000,15225,5.58,38000.0,5682,0.2999999999999998
E12000009,South West,2001,93000.0,18465,5.04,69334,13360,5.19,23666.0,5105,-0.15000000000000036
K04000001,England and Wales,2002,104000.0,20562,5.06,65000,14742,4.41,39000.0,5820,0.6499999999999995
E92000001,England,2002,106000.0,20706,5.12,67000,14852,4.51,39000.0,5854,0.6100000000000003
W92000004,Wales,2002,67500.0,18189,3.71,45000,13188,3.41,22500.0,5001,0.2999999999999998
E12000001,North East,2002,59500.0,18076,3.29,36000,13174,2.73,23500.0,4902,0.56
E12000002,North West,2002,67500.0,19234,3.51,41950,13860,3.03,25550.0,5374,0.48
E12000003,Yorkshire and The Humber,2002,66995.0,18863,3.55,42500,13725,3.1,24495.0,5138,0.44999999999999973
