Code,Name,year,median_house_price,median_gross,median_ratio,lowerq_house_price,lowerq_gross,lowerq_ratio,hp_gap,gr_gap,ratio_gap
E92000001,England,1997,59995.0,16958,3.54,43000,12058,3.57,16995.0,4900,-0.029999999999999805
E92000001,England,1998,65000.0,17709,3.67,45000,12606,3.57,20000.0,5103,0.10000000000000009
E92000001,England,1999,71000.0,17939,3.96,48500,12852,3.77,22500.0,5087,0.18999999999999995
E92000001,England,2000,79995.0,19107,4.19,53000,13778,3.85,26995.0,5329,0.3400000000000003
E92000001,England,2001,89950.0,19997,4.5,58500,14337,4.08,31450.0,5660,0.41999999999999993
E92000001,England,2002,106000.0,20706,5.12,67000,14852,4.51,39000.0,5854,0.6100000000000003
E92000001,England,2003,127500.0,21500,5.93,80000,15364,5.21,47500.0,6136,0.7199999999999998
E92000001,England,2004,148000.0,22418,6.6,100000,15948,6.27,48000.0,6470,0.33000000000000007
E92000001,England,2005,158000.0,23280,6.79,112500,16486,6.82,45500.0,6794,-0.03000000000000025
E92000001,England,2006,165000.0,23729,6.95,119995,16734,7.17,45005.0,6995,-0.21999999999999975
E92000001,England,2007,175000.0,24480,7.15,125000,17328,7.21,50000.0,7152,-0.05999999999999961
E92000001,England,2008,177950.0,25549,6.97,125000,18078,6.91,52950.0,7471,0.05999999999999961
E92000001,England,2009,167350.0,26133,6.4,120000,18511,6.48,47350.0,7622,-0.08000000000000007
E92000001,England,2010,180000.0,26265,6.85,127500,18577,6.86,52500.0,7688,-0.010000000000000675
E92000001,England,2011,180000.0,26488,6.8,125000,18603,6.72,55000.0,7885,0.08000000000000007
E92000001,England,2012,181500.0,26822,6.77,125000,19011,6.58,56500.0,7811,0.1899999999999995
E92000001,England,2013,185000.0,27372,6.76,127000,19323,6.57,58000.0,8049,0.1899999999999995
E92000001,England,2014,195000.0,27485,7.09,134000,19390,6.91,61000.0,8095,0.17999999999999972
E92000001,England,2015,209950.0,27841,7.54,139950,19680,7.11,70000.0,8161,0.4299999999999997
E92000001,England,2016,220000.0,28496,7.72,145000,20252,7.16,75000.0,8244,0.5599999999999996
E92000001,England,2017,230000.0,29083,7.91,150000,20651,7.26,80000.0,8432,0.6500000000000004
E92000001,England,2018,239950.0,29856,8.04,156000,21263,7.34,83950.0,8593,0.6999999999999993
E92000001,England,2019,242000.0,30704,7.88,160000,22052,7.26,82000.0,8652,0.6200000000000001
E92000001,England,2020,250000.0,31791,7.86,165000,22965,7.18,85000.0,8826,0.6800000000000006
E92000001,England,2021,285000.0,31440,9.06,189950,23000,8.26,95050.0,8440,0.8000000000000007
E92000001,England,2022,285000.0,33280,8.56,186250,24440,7.62,98750.0,8840,0.9400000000000004
E92000001,England,2023,297500.0,35217,8.45,195712,26165,7.48,101788.0,9052,0.9699999999999989
E92000001,England,2024,295000.0,37647,7.84,196995,28074,7.02,98005.0,9573,0.8200000000000003
E92000001,England,2025,300000.0,39298,7.63,204995,29359,6.98,95005.0,9939,0.6499999999999995
