region,lad_code,lad_name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
North East,E06000001,Hartlepool,8302,8327,8816,9133,9573,9913,10152,10501,10957,11461,11789,12140,12678,12920,13266,13724,13903,14338,14745,14984,15273,15962,16100,16514,17238,17992
North East,E06000004,Stockton-on-Tees,9529,9380,9844,10248,10700,10976,11304,11939,12377,12766,13056,13376,13820,13984,14303,14669,14827,15250,15603,15795,16152,16336,17212,17507,17770,18608
North East,E06000002,Middlesbrough,8693,8341,8795,9242,9710,9761,9992,10545,10912,11336,11504,11780,12411,12447,12610,13322,13553,14112,14455,14447,14610,15139,15695,15831,16083,16670
North East,E06000003,Redcar and Cleveland,8937,8600,9099,9591,10088,10135,10408,10787,11166,11619,11777,12041,12812,12926,13202,14040,14266,14838,15219,15350,15623,16112,16459,16738,16781,17686
North East,E06000005,Darlington,9453,9319,9517,10271,11113,11127,11458,11807,12023,12238,12860,12877,13426,13553,13409,13904,14401,14750,15374,15903,16556,16881,17427,18081,18214,19056
North East,E06000047,County Durham,9074,9222,9603,10046,10463,10599,10841,11418,11629,11958,12205,12441,12878,13235,13349,13829,14230,14676,15275,15421,15716,16218,16629,16871,17186,17904
North East,E06000057,Northumberland,10081,10162,10681,11300,11764,11936,12457,12910,13185,13977,14269,15112,16026,15994,16070,16604,17157,17529,18202,18523,18943,19405,19834,19948,20297,21359
North East,E08000021,Newcastle upon Tyne,9463,9745,9900,10526,11029,11277,11630,12159,12073,12486,12864,13047,13401,13669,13666,14158,14371,14738,15432,15431,15569,16034,16785,16686,17383,18136
North East,E08000022,North Tyneside,9748,9909,10077,10408,10790,10951,11287,11904,11913,12261,12539,12635,13356,13676,13821,14575,14858,15238,15981,16134,16529,17070,17746,18469,18338,19171
North East,E08000023,South Tyneside,8383,8499,8597,8994,9403,9599,10037,10664,10848,11302,11763,11987,12581,12899,13081,13768,14131,14566,15259,15386,15696,15828,16061,16461,16792,17654
North East,E08000037,Gateshead,8412,8615,8770,9204,9767,9969,10298,10783,10873,11185,11433,11587,12252,12433,12587,13285,13621,13940,14469,14651,14971,15649,16275,16434,16977,17600
North East,E08000024,Sunderland,8388,8315,8756,9310,9671,9942,10234,10595,10996,11353,11766,11948,12366,12661,12913,13518,13873,14094,14479,14974,15313,15536,15961,16160,16661,17458
North West,E06000063,Cumberland,8920,9258,9631,10067,10724,10791,11289,11789,12110,12587,13139,13360,14031,14324,14425,15168,15655,16077,16692,16913,17241,17624,18022,18381,18556,19333
North West,E06000064,Westmorland and Furness,10790,11216,11411,11667,12485,12773,13374,14007,14504,15076,15699,15964,16568,17135,17118,17792,18500,19042,19884,19860,20241,20685,21480,21290,21668,23103
North West,E08000003,Manchester,7183,7458,8118,8457,8825,9212,9359,9690,10060,10405,10698,10912,11492,11541,11700,12100,12458,12876,13609,13826,14685,15270,15806,16225,16834,17615
North West,E08000006,Salford,10512,10729,11258,11733,11973,12233,12649,13211,13626,13968,14454,14627,14814,14687,14794,15184,15382,15668,16646,16535,16782,16507,17293,17543,18441,19395
North West,E08000009,Trafford,13072,13037,13793,14559,14892,15198,15409,15802,16219,16676,17188,17346,17600,17647,17792,18330,18778,19258,20866,20922,21270,22891,23681,23393,23908,25802
North West,E08000007,Stockport,10704,10741,11448,12112,12343,12682,13120,13338,13797,14354,14961,15188,15736,16058,16264,16758,17368,17976,18945,19405,19774,20627,21316,21297,21815,23192
North West,E08000008,Tameside,8279,8423,9131,9451,9698,9877,10252,10528,10934,11337,11719,11906,12557,12635,12870,13315,13632,14030,14595,14921,15392,15745,16215,16417,16697,17472
North West,E08000001,Bolton,10037,10057,10588,11103,11371,11579,11810,12358,12690,13112,13623,13706,13885,14015,14032,14398,14758,14994,15229,15152,15609,15913,16322,16412,16999,17977
North West,E08000010,Wigan,9541,9607,10165,10591,11017,11183,11534,11883,12138,12595,13029,13096,13521,13575,13720,14295,14678,14909,15060,15090,15710,16161,16681,16926,17131,17798
North West,E08000002,Bury,10488,10590,11113,11755,12134,12352,12509,13093,13450,13914,14468,14627,14832,14945,14983,15353,15995,16483,17295,17294,17554,18135,18589,18805,19164,20278
North West,E08000004,Oldham,8108,8241,8773,9142,9465,9695,9928,10335,10594,11049,11443,11584,11991,12105,12196,12681,13090,13431,13809,13836,13980,14667,15266,15289,15744,16499
North West,E08000005,Rochdale,8387,8454,9054,9395,9771,9964,10172,10595,10865,11277,11723,11832,12338,12413,12577,13168,13587,13972,14438,14506,14731,15005,15720,15983,16239,16872
North West,E06000008,Blackburn with Darwen,8314,8321,8799,8811,9109,9061,9468,9760,10247,10587,10776,10751,11012,11382,11321,11449,11506,11877,12126,12238,12748,13323,13922,14544,15084,15884
North West,E06000009,Blackpool,9469,9592,9771,10459,10621,10752,10621,10837,10987,11249,11785,12062,12647,12887,13350,13369,13659,14006,14528,14897,15361,15646,16182,16354,16697,17413
North West,E07000121,Lancaster,8478,8702,9023,9577,10068,10418,10795,11208,11527,11947,12454,12775,13464,13452,13560,13936,14489,14934,15435,15654,16303,16852,16824,17369,17787,18434
North West,E07000128,Wyre,9704,9835,10246,10749,11175,11472,11828,12235,12692,13141,13667,14024,14756,14968,15186,15463,16118,16506,16913,17234,18054,18533,19768,19646,19820,20813
North West,E07000119,Fylde,12017,12034,12545,13421,13871,14146,14630,15115,15633,16322,16894,17308,17923,18240,18158,18605,19051,19499,20641,20769,21178,21999,22751,22199,22863,24259
North West,E07000123,Preston,8821,8941,9262,9584,10216,10291,10629,10954,11309,11579,11943,12221,12993,12838,12987,13358,13551,13980,14560,14989,15288,15279,15911,16560,16714,17243
North West,E07000124,Ribble Valley,14849,15062,15226,16294,16713,16795,17249,17993,18721,19228,20252,20684,20460,20778,20988,20912,21547,22261,23636,23600,24054,24991,25607,24240,25649,27425
North West,E07000126,South Ribble,9624,9729,10092,10481,11053,11281,11692,12155,12581,13006,13444,13660,14342,14306,14538,14896,15286,15759,16428,16817,17208,17852,18562,19110,19299,20187
North West,E07000117,Burnley,7154,7231,7635,7955,8401,8471,8884,9279,9793,10277,10868,11342,12008,12001,12247,12494,12798,12944,13279,13654,13820,14284,14756,14979,15183,15732
North West,E07000120,Hyndburn,7364,7436,7830,8110,8491,8718,8944,9448,9929,10264,10713,11173,11872,11905,12203,12554,12941,13004,13528,13936,14270,14537,15309,15351,15288,15780
North West,E07000122,Pendle,8666,8759,9037,9537,9846,10062,10480,10966,11542,11936,12641,13138,13391,13555,13612,13743,14018,14192,14863,15007,15175,14988,15446,15486,15918,16896
North West,E07000125,Rossendale,9872,10078,10350,10994,11380,11676,12112,12675,13212,13492,14181,14539,14816,14887,15031,15099,15619,15756,16725,16903,17092,17584,17554,17816,18232,19396
North West,E07000118,Chorley,10201,10277,10651,11186,11676,11956,12323,12750,13250,13675,14211,14542,15125,15121,15407,15783,16044,16568,17648,17459,17905,18182,19052,19415,20069,21244
North West,E07000127,West Lancashire,10103,10110,10645,11334,11786,12004,12440,12951,13462,13866,14451,14827,15365,15426,15821,16220,16561,17044,18152,17982,18326,19188,19923,19932,20453,21486
