period,bank_rate
1975-01,11.0
1975-02,10.5
1975-03,10.0
1975-04,9.75
1975-05,10.0
1975-06,10.0
1975-07,11.0
1975-08,11.0
1975-09,11.0
1975-10,12.0
1975-11,11.75
1975-12,11.25
1976-01,10.5
1976-02,9.5
1976-03,9.0
1976-04,10.5
1976-05,11.5
1976-06,11.5
1976-07,11.5
1976-08,11.5
1976-09,13.0
1976-10,15.0
1976-11,14.75
1976-12,14.25
1977-01,12.25
1977-02,12.0
1977-03,9.5
1977-04,8.75
1977-05,8.0
1977-06,8.0
1977-07,8.0
1977-08,7.0
1977-09,6.0
1977-10,5.0
1977-11,7.0
1977-12,7.0
1978-01,6.5
1978-02,6.5
1978-03,6.5
1978-04,7.5
1978-05,9.0
1978-06,10.0
1978-07,10.0
1978-08,10.0
1978-09,10.0
1978-10,10.0
1978-11,12.5
1978-12,12.5
1979-01,12.5
1979-02,14.0
1979-03,13.0
1979-04,12.0
1979-05,12.0
1979-06,14.0
1979-07,14.0
1979-08,14.0
1979-09,14.0
1979-10,14.0
1979-11,17.0
1979-12,17.0
1980-01,17.0
1980-02,17.0
1980-03,17.0
1980-04,17.0
1980-05,17.0
1980-06,17.0
1980-07,16.0
1980-08,16.0
1980-09,16.0
1980-10,16.0
1980-11,14.0
1980-12,14.0
1981-01,14.0
1981-02,14.0
1981-03,12.0
1981-04,12.0
1981-05,12.0
1981-06,12.0
1981-07,12.0
1981-08,12.69
1981-09,14.0
1981-10,15.13
1981-11,14.56
1981-12,14.38
1982-01,13.88
1982-02,13.63
1982-03,13.25
1982-04,13.13
1982-05,13.13
1982-06,12.63
1982-07,11.63
1982-08,10.63
1982-09,10.13
1982-10,9.63
1982-11,10.0
1982-12,10.0
1983-01,11.0
1983-02,11.0
1983-03,10.56
1983-04,10.06
1983-05,10.06
1983-06,9.56
1983-07,9.56
1983-08,9.56
1983-09,9.56
1983-10,9.06
1983-11,9.06
1983-12,9.06
1984-01,9.06
1984-02,9.06
1984-03,8.56
1984-04,8.56
1984-05,9.06
1984-06,8.88
1984-07,12.0
1984-08,10.5
1984-09,10.5
1984-10,10.5
1984-11,9.5
1984-12,9.5
1985-01,13.88
1985-02,13.88
1985-03,12.88
1985-04,12.38
1985-05,12.38
1985-06,12.38
1985-07,11.38
1985-08,11.38
1985-09,11.38
1985-10,11.38
1985-11,11.38
1985-12,11.38
1986-01,12.38
1986-02,12.38
1986-03,11.38
1986-04,10.38
1986-05,9.88
1986-06,9.88
1986-07,9.88
1986-08,9.88
1986-09,9.88
