date,ftse_100
2001-02-01,5917.9
2001-03-01,5633.7
2001-04-01,5966.9
2001-05-01,5796.1
2001-06-01,5642.5
2001-07-01,5529.1
2001-08-01,5345.0
2001-09-01,4903.4
2001-10-01,5039.7
2001-11-01,5203.6
2001-12-01,5217.4
2002-01-01,5164.8
2002-02-01,5101.0
2002-03-01,5271.8
2002-04-01,5165.6
2002-05-01,5085.1
2002-06-01,4656.4
2002-07-01,4246.2
2002-08-01,4227.3
2002-09-01,3721.8
2002-10-01,4039.7
2002-11-01,4169.4
2002-12-01,3940.4
2003-01-01,3567.4
2003-02-01,3655.6
2003-03-01,3613.3
2003-04-01,3926.0
2003-05-01,4048.1
2003-06-01,4031.2
2003-07-01,4157.0
2003-08-01,4161.06
2003-09-01,4091.31
2003-10-01,4287.59
2003-11-01,4342.6
2003-12-01,4476.87
2004-01-01,4390.68
2004-02-01,4492.21
2004-03-01,4385.67
2004-04-01,4489.69
2004-05-01,4430.69
2004-06-01,4464.07
2004-07-01,4413.08
2004-08-01,4459.32
2004-09-01,4570.77
2004-10-01,4624.21
2004-11-01,4703.18
2004-12-01,4814.3
2005-01-01,4852.31
2005-02-01,4968.5
2005-03-01,4894.37
2005-04-01,4801.68
2005-05-01,4963.97
2005-06-01,5113.16
2005-07-01,5282.3
2005-08-01,5296.92
2005-09-01,5477.71
2005-10-01,5317.28
2005-11-01,5423.17
2005-12-01,5618.76
2006-01-01,5760.26
2006-02-01,5791.54
2006-03-01,5964.57
2006-04-01,6023.14
2006-05-01,5723.81
2006-06-01,5833.42
2006-07-01,5928.33
2006-08-01,5906.13
2006-09-01,5960.81
2006-10-01,6129.22
2006-11-01,6048.85
2006-12-01,6220.81
2007-01-01,6203.09
2007-02-01,6171.47
2007-03-01,6308.03
2007-04-01,6449.21
2007-05-01,6621.45
2007-06-01,6607.9
2007-07-01,6360.11
2007-08-01,6303.3
2007-09-01,6466.79
2007-10-01,6721.57
2007-11-01,6432.45
2007-12-01,6456.91
2008-01-01,5879.78
2008-02-01,5884.28
2008-03-01,5702.11
2008-04-01,6087.3
2008-05-01,6053.5
2008-06-01,5625.9
2008-07-01,5411.9
2008-08-01,5636.61
2008-09-01,4902.45
2008-10-01,4377.34
2008-11-01,4288.01
2008-12-01,4434.17
2009-01-01,4149.64
2009-02-01,3830.09
2009-03-01,3926.14
2009-04-01,4243.71
2009-05-01,4417.94
2009-06-01,4249.21
2009-07-01,4608.36
2009-08-01,4908.9
2009-09-01,5133.9
2009-10-01,5044.55
2009-11-01,5190.68
2009-12-01,5412.88
2010-01-01,5188.52
2010-02-01,5354.52
2010-03-01,5679.64
2010-04-01,5553.29
2010-05-01,5188.43
2010-06-01,4916.87
2010-07-01,5258.02
2010-08-01,5225.22
2010-09-01,5548.62
2010-10-01,5675.16
2010-11-01,5528.27
2010-12-01,5899.94
2011-01-01,5862.94
2011-02-01,5994.01
2011-03-01,5908.76
2011-04-01,6069.9
2011-05-01,5989.99
2011-06-01,5945.71
2011-07-01,5815.19
2011-08-01,5394.53
2011-09-01,5128.48
2011-10-01,5544.22
2011-11-01,5505.42
2011-12-01,5572.28
2012-01-01,5681.61
2012-02-01,5871.51
2012-03-01,5768.45
2012-04-01,5737.78
2012-05-01,5320.86
2012-06-01,5571.15
2012-07-01,5635.28
2012-08-01,5711.48
2012-09-01,5742.07
2012-10-01,5782.7
2012-11-01,5866.82
2012-12-01,5897.81
2013-01-01,6276.88
2013-02-01,6360.81
2013-03-01,6411.74
2013-04-01,6430.12
2013-05-01,6583.09
2013-06-01,6215.47
2013-07-01,6621.06
2013-08-01,6412.93
2013-09-01,6462.22
2013-10-01,6731.43
2013-11-01,6650.57
2013-12-01,6749.09
2014-01-01,6510.44
2014-02-01,6809.7
2014-03-01,6598.37
2014-04-01,6780.03
2014-05-01,6844.51
2014-06-01,6743.94
2014-07-01,6730.11
2014-08-01,6819.75
2014-09-01,6622.72
2014-10-01,6546.47
2014-11-01,6722.62
2014-12-01,6566.09
2015-01-01,6749.4
2015-02-01,6946.66
2015-03-01,6773.04
2015-04-01,6960.63
2015-05-01,6984.43
2015-06-01,6520.98
2015-07-01,6696.28
2015-08-01,6247.94
2015-09-01,6061.61
2015-10-01,6361.09
2015-11-01,6356.09
2015-12-01,6242.32
2016-01-01,6083.79
2016-02-01,6097.09
2016-03-01,6174.9
2016-04-01,6241.89
2016-05-01,6230.79
2016-06-01,6504.33
2016-07-01,6724.43
2016-08-01,6781.51
2016-09-01,6899.33
2016-10-01,6954.22
2016-11-01,6783.79
2016-12-01,7142.83
2017-01-01,7099.15
2017-02-01,7263.44
2017-03-01,7322.92
2017-04-01,7203.94
2017-05-01,7519.95
2017-06-01,7312.72
2017-07-01,7372.0
2017-08-01,7430.62
2017-09-01,7372.76
2017-10-01,7493.08
2017-11-01,7326.67
2017-12-01,7687.77
2018-01-01,7533.55
2018-02-01,7231.91
2018-03-01,7056.61
2018-04-01,7509.3
2018-05-01,7678.2
2018-06-01,7636.93
2018-07-01,7748.76
2018-08-01,7432.42
2018-09-01,7510.2
2018-10-01,7128.1
2018-11-01,6980.24
2018-12-01,6728.13
2019-01-01,6968.85
2019-02-01,7074.73
2019-03-01,7279.19
2019-04-01,7418.22
2019-05-01,7161.71
2019-06-01,7425.63
2019-07-01,7586.78
2019-08-01,7207.18
2019-09-01,7408.21
2019-10-01,7248.38
2019-11-01,7346.53
2019-12-01,7542.44
