scenario,model,split,prediction_column,n,MAE,RMSE,R2,SMAPE_percent,mean_actual,mean_predicted,bias_actual_minus_predicted,delta_MAE_vs_lag1,delta_RMSE_vs_lag1
lagged_only_no_same_quarter_exog_forecast,Lag-1 baseline,train,pred_lag1_baseline,4933,36.632880600040544,60.22663124641211,0.9362103068327523,17.96553754590474,248.82505574700994,245.9667545104399,2.8583012365700387,0.0,0.0
lagged_only_no_same_quarter_exog_forecast,Lag-1 baseline,valid,pred_lag1_baseline,1142,38.22241681260946,65.2335558789298,0.944116477231506,14.569123834723852,304.55779334500875,309.62259194395796,-5.064798598949212,0.0,0.0
lagged_only_no_same_quarter_exog_forecast,Lag-1 baseline,test,pred_lag1_baseline,870,36.673563218390804,57.41029984885667,0.9524536861209211,14.641658935088433,303.85402298850573,299.40344827586205,4.450574712643678,0.0,0.0
lagged_only_no_same_quarter_exog_forecast,Growth-from-lag1 XGBoost raw,train,pred_growth_from_lag1_xgboost_raw,4933,29.22904638304912,50.89356249460502,0.9544488785253245,14.142216890531781,248.82505574700994,246.55108834943445,2.2739673975755053,-7.403834216991424,-9.33306875180709
lagged_only_no_same_quarter_exog_forecast,Growth-from-lag1 XGBoost raw,valid,pred_growth_from_lag1_xgboost_raw,1142,36.90972122910538,65.96873983458656,0.9428497616143438,13.321925347642585,304.55779334500875,315.6645027485571,-11.106709403548331,-1.3126955835040803,0.7351839556567512
lagged_only_no_same_quarter_exog_forecast,Growth-from-lag1 XGBoost raw,test,pred_growth_from_lag1_xgboost_raw,870,34.85061936250472,60.18310985820326,0.9477499784935048,13.224176190586068,303.85402298850573,310.33879184781574,-6.484768859309988,-1.8229438558860807,2.7728100093465926
lagged_only_no_same_quarter_exog_forecast,Growth-from-lag1 XGBoost + bias correction,train,pred_growth_from_lag1_xgboost_bias_corrected,4933,30.34774760673835,52.786894610371334,0.9509966695716661,15.070546442500374,248.82505574700994,239.94189476889707,8.883160978112867,-6.285132993302195,-7.439736636040777
lagged_only_no_same_quarter_exog_forecast,Growth-from-lag1 XGBoost + bias correction,valid,pred_growth_from_lag1_xgboost_bias_corrected,1142,35.26499698368409,62.276732643561246,0.9490676976525828,13.763810598447323,304.55779334500875,304.55779334500875,1.8715521446290553e-14,-2.9574198289253673,-2.95682323536856
lagged_only_no_same_quarter_exog_forecast,Growth-from-lag1 XGBoost + bias correction,test,pred_growth_from_lag1_xgboost_bias_corrected,870,34.06025831985135,57.004650105821,0.9531232179114845,13.454122616654708,303.85402298850573,299.57865002818886,4.275372960316907,-2.613304898539454,-0.40564974303566714
lagged_only_no_same_quarter_exog_forecast,"XGBoost-bc + lag-1 blend, unrestricted",train,pred_xgboost_bc_lag1_blend_unrestricted,4933,30.412948055739083,52.49077841132831,0.9515449109527481,15.11784979110008,248.82505574700994,241.14686671720563,7.678189029804302,-6.219932544301461,-7.735852835083804
lagged_only_no_same_quarter_exog_forecast,"XGBoost-bc + lag-1 blend, unrestricted",valid,pred_xgboost_bc_lag1_blend_unrestricted,1142,35.042959821177305,61.713103453804386,0.9499854409739258,13.648777912002952,304.55779334500875,305.5707530647985,-1.0129597197898266,-3.179456991432154,-3.52045242512542
lagged_only_no_same_quarter_exog_forecast,"XGBoost-bc + lag-1 blend, unrestricted",test,pred_xgboost_bc_lag1_blend_unrestricted,870,33.86052191493746,55.76460614797826,0.9551404925078093,13.39187239322416,303.85402298850573,299.5436096777235,4.31041331078226,-2.813041303453346,-1.6456937008784038
lagged_only_no_same_quarter_exog_forecast,Final blend + bias correction,train,pred_xgboost_bc_lag1_blend_bias_corrected,4933,30.440310682625725,52.64848808880778,0.9512533048181517,15.02574010119658,248.82505574700994,240.13390699741583,8.691148749594127,-6.1925699174148185,-7.57814315760433
lagged_only_no_same_quarter_exog_forecast,Final blend + bias correction,valid,pred_xgboost_bc_lag1_blend_bias_corrected,1142,34.97267185818507,61.704789526470684,0.94999891588855,13.526900513298237,304.55779334500875,304.55779334500875,-1.991012919818144e-15,-3.2497449544243864,-3.5287663524591224
lagged_only_no_same_quarter_exog_forecast,Final blend + bias correction,test,pred_xgboost_bc_lag1_blend_bias_corrected,870,33.8916262786563,55.85203609853439,0.9549997172248142,13.354502139915564,303.85402298850573,298.53064995793363,5.323373030572086,-2.781936939734507,-1.5582637503222756
