column,role,explicit_type,actual_pandas_dtype,missing_rate,nunique
lad_code,identifier_or_time_index,category_identifier,category,0.0,326
quarter,identifier_or_time_index,period_quarter,period[Q-DEC],0.0,104
year,predictor_or_engineered_predictor,int_time,int16,0.0,26
month,predictor_or_engineered_predictor,int_time,Float64,0.07857479943369514,8
average_house_price,predictor_or_engineered_predictor,float,float64,0.0950920245398773,30227
average_house_price_monthly_change,predictor_or_engineered_predictor,float,float64,0.0950920245398773,703
average_house_price_annual_change,predictor_or_engineered_predictor,float,float64,0.0950920245398773,2367
seasonally_adjusted_average_house_price,predictor_or_engineered_predictor,float,float64,1.0,0
house_price_index,predictor_or_engineered_predictor,float,float64,0.0950920245398773,3232
house_sales_volume,predictor_or_engineered_predictor,float,float64,0.0950920245398773,2708
unemployment_count,predictor_or_engineered_predictor,float,float64,0.6257668711656442,6018
private_rental_price_index,predictor_or_engineered_predictor,float,float64,0.6288343558282209,12583
private_rental_price_monthly_change,predictor_or_engineered_predictor,float,float64,0.6288343558282209,12566
private_rental_price_annual_change,predictor_or_engineered_predictor,float,float64,0.6625766871165644,11438
average_private_rental_price,predictor_or_engineered_predictor,float,float64,0.6288343558282209,3723
gbp_index,predictor_or_engineered_predictor,float,float64,0.0856536101934875,123
ftse_100,predictor_or_engineered_predictor,float,float64,0.1204577630957999,122
income,predictor_or_engineered_predictor,float,float64,0.19679093912222748,5539
uk_bank_rate,predictor_or_engineered_predictor,float,float64,0.0856536101934875,42
brent_oil_price,predictor_or_engineered_predictor,float,float64,0.0856536101934875,126
population,predictor_or_engineered_predictor,float,float64,0.17632137800849457,6866
internal_net_migration,predictor_or_engineered_predictor,float,float64,0.20994572911750825,3516
international_net_migration,predictor_or_engineered_predictor,float,float64,0.20994572911750825,2577
cpi_00_all_items,predictor_or_engineered_predictor,float,float64,0.0856536101934875,120
homelessness_relief,target_history_or_auxiliary,float_target_or_target_derived,float64,0.7823265691363851,646
