dropped_feature,kept_correlated_feature,abs_pairwise_corr,threshold,dropped_group,kept_group
average_house_price_qoq_pct_lag2q,house_price_index_qoq_pct_lag2q,0.9999332990976346,0.985,house price / housing,house price / housing
average_house_price_yoy_pct_lag2q,house_price_index_yoy_pct_lag2q,0.9999810103335841,0.985,house price / housing,house price / housing
average_house_price_annual_change_lag2q,house_price_index_yoy_pct_lag2q,0.9999622207900298,0.985,house price / housing,house price / housing
unemployment_count_qoq_pct_lag2q,unemployment_per_1000_qoq_pct_lag2q,0.9994548110723335,0.985,unemployment,unemployment
house_price_index_qoq_pct_lag4q,average_house_price_qoq_pct_lag4q,0.9999212690259541,0.985,house price / housing,house price / housing
average_private_rental_price_qoq_pct_lag1q,private_rental_price_index_qoq_pct_lag1q,0.9993935452442524,0.985,rent,rent
average_house_price_annual_change_lag4q,house_price_index_yoy_pct_lag4q,0.9999638881355639,0.985,house price / housing,house price / housing
average_house_price_yoy_pct_lag4q,house_price_index_yoy_pct_lag4q,0.9999813673004493,0.985,house price / housing,house price / housing
average_house_price_yoy_pct_lag1q,average_house_price_annual_change_lag1q,0.9999816399671452,0.985,house price / housing,house price / housing
house_price_index_yoy_pct_lag1q,average_house_price_annual_change_lag1q,0.9999638153428443,0.985,house price / housing,house price / housing
private_rental_price_annual_change_lag1q,private_rental_price_index_yoy_pct_lag1q,0.9999994649388046,0.985,rent,rent
average_private_rental_price_yoy_pct_lag1q,private_rental_price_index_yoy_pct_lag1q,0.9999162793608879,0.985,rent,rent
private_rental_price_annual_change_lag2q,private_rental_price_index_yoy_pct_lag2q,0.9999993699170012,0.985,rent,rent
average_private_rental_price_yoy_pct_lag2q,private_rental_price_index_yoy_pct_lag2q,0.9999056407874495,0.985,rent,rent
private_rental_price_index_qoq_pct_lag2q,average_private_rental_price_qoq_pct_lag2q,0.9993135007094254,0.985,rent,rent
unemployment_count_qoq_pct_lag1q,unemployment_per_1000_qoq_pct_lag1q,0.9994580306434259,0.985,unemployment,unemployment
unemployment_per_1000_yoy_pct_lag2q,unemployment_count_yoy_pct_lag2q,0.9996170958997675,0.985,unemployment,unemployment
unemployment_count_qoq_pct_lag4q,unemployment_per_1000_qoq_pct_lag4q,0.9995811135886822,0.985,unemployment,unemployment
unemployment_count_qoq_pct_lag8q,unemployment_per_1000_qoq_pct_lag8q,0.9998601485748758,0.985,unemployment,unemployment
unemployment_per_1000_yoy_pct_lag8q,unemployment_count_yoy_pct_lag8q,0.9997588308311016,0.985,unemployment,unemployment
cpi_00_all_items_yoy_pct_lag4q,uk_bank_rate_lag1q,0.9880230817945468,0.985,CPI total,interest rate
private_rental_price_index_yoy_pct_lag4q,average_private_rental_price_yoy_pct_lag4q,0.9998868384035329,0.985,rent,rent
private_rental_price_annual_change_lag4q,average_private_rental_price_yoy_pct_lag4q,0.9998862104979779,0.985,rent,rent
average_private_rental_price_qoq_pct_lag4q,private_rental_price_index_qoq_pct_lag4q,0.9992020537807597,0.985,rent,rent
log1p_population_lag8q,log1p_population_lag4q,0.999813251614782,0.985,population / scale,population / scale
log1p_population_lag1q,log1p_population_lag4q,0.9998134413413877,0.985,population / scale,population / scale
private_rental_price_annual_change_lag8q,average_private_rental_price_yoy_pct_lag8q,0.9998394058822379,0.985,rent,rent
private_rental_price_index_yoy_pct_lag8q,average_private_rental_price_yoy_pct_lag8q,0.9998398403312525,0.985,rent,rent
unemployment_count_yoy_pct_lag1q,unemployment_per_1000_yoy_pct_lag1q,0.9996133673303205,0.985,unemployment,unemployment
log1p_population_lag2q,log1p_population_lag4q,0.9943906398761386,0.985,population / scale,population / scale
population_lag2q,population_lag4q,0.9985349183939336,0.985,population / scale,population / scale
population_lag8q,population_lag4q,0.999913728553,0.985,population / scale,population / scale
average_house_price_yoy_pct_lag8q,average_house_price_annual_change_lag8q,0.9999844296992088,0.985,house price / housing,house price / housing
population_lag1q,population_lag4q,0.9998954761422089,0.985,population / scale,population / scale
house_price_index_yoy_pct_lag8q,average_house_price_annual_change_lag8q,0.9999568198265204,0.985,house price / housing,house price / housing
house_price_index_qoq_pct_lag8q,average_house_price_qoq_pct_lag8q,0.9999115419113667,0.985,house price / housing,house price / housing
unemployment_per_1000_yoy_pct_lag4q,unemployment_count_yoy_pct_lag4q,0.9996203593251669,0.985,unemployment,unemployment
average_private_rental_price_qoq_pct_lag8q,private_rental_price_index_qoq_pct_lag8q,0.9989469185747649,0.985,rent,rent
house_price_index_qoq_pct_lag1q,average_house_price_qoq_pct_lag1q,0.9999333521069317,0.985,house price / housing,house price / housing
