feature,reason,missing_rate_train,nunique_train,feature_group
seasonally_adjusted_average_house_price_lag1q,all_missing_in_train,1.0,0,house price / housing
seasonally_adjusted_average_house_price_lag2q,all_missing_in_train,1.0,0,house price / housing
seasonally_adjusted_average_house_price_lag4q,all_missing_in_train,1.0,0,house price / housing
seasonally_adjusted_average_house_price_lag8q,all_missing_in_train,1.0,0,house price / housing
log1p_seasonally_adjusted_average_house_price_lag1q,all_missing_in_train,1.0,0,house price / housing
log1p_seasonally_adjusted_average_house_price_lag2q,all_missing_in_train,1.0,0,house price / housing
log1p_seasonally_adjusted_average_house_price_lag4q,all_missing_in_train,1.0,0,house price / housing
log1p_seasonally_adjusted_average_house_price_lag8q,all_missing_in_train,1.0,0,house price / housing
seasonally_adjusted_average_house_price_qoq_pct_lag1q,all_missing_in_train,1.0,0,house price / housing
seasonally_adjusted_average_house_price_qoq_pct_lag2q,all_missing_in_train,1.0,0,house price / housing
seasonally_adjusted_average_house_price_qoq_pct_lag4q,all_missing_in_train,1.0,0,house price / housing
seasonally_adjusted_average_house_price_qoq_pct_lag8q,all_missing_in_train,1.0,0,house price / housing
seasonally_adjusted_average_house_price_yoy_pct_lag1q,all_missing_in_train,1.0,0,house price / housing
seasonally_adjusted_average_house_price_yoy_pct_lag2q,all_missing_in_train,1.0,0,house price / housing
seasonally_adjusted_average_house_price_yoy_pct_lag4q,all_missing_in_train,1.0,0,house price / housing
seasonally_adjusted_average_house_price_yoy_pct_lag8q,all_missing_in_train,1.0,0,house price / housing
lad_E08000038,constant_in_train,0.0,1,LAD fixed effect
lad_E08000039,constant_in_train,0.0,1,LAD fixed effect
