feature,intended_type,actual_pandas_dtype,feature_group,missing_rate_all_rows,nunique_all_rows
average_house_price_lag1q,float32_numeric,float64,house price / housing,0.038876889848812095,6661
average_house_price_lag2q,float32_numeric,float64,house price / housing,0.038876889848812095,6661
average_house_price_lag4q,float32_numeric,float64,house price / housing,0.038876889848812095,6660
average_house_price_lag8q,float32_numeric,float64,house price / housing,0.038876889848812095,6658
average_house_price_monthly_change_lag1q,float32_numeric,float64,house price / housing,0.038876889848812095,442
average_house_price_monthly_change_lag2q,float32_numeric,float64,house price / housing,0.038876889848812095,441
average_house_price_monthly_change_lag4q,float32_numeric,float64,house price / housing,0.038876889848812095,442
average_house_price_monthly_change_lag8q,float32_numeric,float64,house price / housing,0.038876889848812095,435
average_house_price_annual_change_lag1q,float32_numeric,float64,house price / housing,0.038876889848812095,1035
average_house_price_annual_change_lag8q,float32_numeric,float64,house price / housing,0.038876889848812095,971
house_price_index_lag1q,float32_numeric,float64,house price / housing,0.038876889848812095,1130
house_price_index_lag2q,float32_numeric,float64,house price / housing,0.038876889848812095,1148
house_price_index_lag4q,float32_numeric,float64,house price / housing,0.038876889848812095,1138
house_price_index_lag8q,float32_numeric,float64,house price / housing,0.038876889848812095,1231
house_sales_volume_lag1q,float32_numeric,float64,house price / housing,0.038876889848812095,1525
house_sales_volume_lag2q,float32_numeric,float64,house price / housing,0.038876889848812095,1529
house_sales_volume_lag4q,float32_numeric,float64,house price / housing,0.038876889848812095,1526
house_sales_volume_lag8q,float32_numeric,float64,house price / housing,0.038876889848812095,1575
unemployment_count_lag1q,float32_numeric,float64,unemployment,0.616414686825054,2303
unemployment_count_lag2q,float32_numeric,float64,unemployment,0.616414686825054,2307
unemployment_count_lag4q,float32_numeric,float64,unemployment,0.616414686825054,2285
unemployment_count_lag8q,float32_numeric,float64,unemployment,0.616414686825054,2257
private_rental_price_index_lag1q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_index_lag2q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_index_lag4q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_index_lag8q,float32_numeric,float64,rent,0.06882649388048956,6466
private_rental_price_monthly_change_lag1q,float32_numeric,float64,rent,0.06882649388048956,6460
private_rental_price_monthly_change_lag2q,float32_numeric,float64,rent,0.06882649388048956,6461
private_rental_price_monthly_change_lag4q,float32_numeric,float64,rent,0.06882649388048956,6461
average_private_rental_price_lag1q,float32_numeric,float64,rent,0.06882649388048956,3013
average_private_rental_price_lag2q,float32_numeric,float64,rent,0.06882649388048956,2973
average_private_rental_price_lag4q,float32_numeric,float64,rent,0.06882649388048956,2925
average_private_rental_price_lag8q,float32_numeric,float64,rent,0.06882649388048956,2827
gbp_index_lag1q,float32_numeric,float64,market / FX,0.00043196544276457883,43
gbp_index_lag2q,float32_numeric,float64,market / FX,0.004751619870410367,42
gbp_index_lag4q,float32_numeric,float64,market / FX,0.013390928725701945,38
gbp_index_lag8q,float32_numeric,float64,market / FX,0.025773938084953204,33
ftse_100_lag1q,float32_numeric,float64,market / FX,0.00043196544276457883,44
ftse_100_lag2q,float32_numeric,float64,market / FX,0.004751619870410367,43
ftse_100_lag4q,float32_numeric,float64,market / FX,0.013390928725701945,39
ftse_100_lag8q,float32_numeric,float64,market / FX,0.025773938084953204,34
income_lag1q,float32_numeric,float64,income / affordability,0.4426205903527718,1097
income_lag2q,float32_numeric,float64,income / affordability,0.40259179265658745,1103
income_lag4q,float32_numeric,float64,income / affordability,0.320374370050396,1370
income_lag8q,float32_numeric,float64,income / affordability,0.15593952483801296,1633
uk_bank_rate_lag1q,float32_numeric,float64,interest rate,0.00043196544276457883,22
uk_bank_rate_lag2q,float32_numeric,float64,interest rate,0.004751619870410367,20
uk_bank_rate_lag4q,float32_numeric,float64,interest rate,0.013390928725701945,16
uk_bank_rate_lag8q,float32_numeric,float64,interest rate,0.025773938084953204,17
brent_oil_price_lag1q,float32_numeric,float64,oil / energy proxy,0.00043196544276457883,44
brent_oil_price_lag2q,float32_numeric,float64,oil / energy proxy,0.004751619870410367,43
brent_oil_price_lag4q,float32_numeric,float64,oil / energy proxy,0.013390928725701945,39
brent_oil_price_lag8q,float32_numeric,float64,oil / energy proxy,0.025773938084953204,34
