group,gain,weight,n_features,n_features_used,gain_share
house price / housing,53.43787954747677,343.0,75,61,0.23565266182971145
rent,36.22107273340225,291.0,59,51,0.15972924592508195
oil / energy proxy,23.3787899017334,30.0,16,10,0.10309679420955224
target history,22.843135595321655,783.0,28,24,0.10073464278821212
market / FX,19.6647489964962,103.0,23,17,0.08671845672918897
population / scale,17.550415575504303,55.0,9,8,0.07739457818326739
migration,15.85747480392456,159.0,23,21,0.06992897508446985
income / affordability,10.582914143800735,62.0,16,13,0.04666899040569625
time / policy,9.699066758155823,65.0,7,3,0.042771362153186554
unemployment,6.931364208459854,37.0,24,13,0.03056622829473557
CPI total,4.8087477684021,39.0,15,5,0.021205822934737814
interest rate,3.878167510032654,5.0,11,3,0.017102110048149387
LAD fixed effect,1.9116624593734741,40.0,121,4,0.008430131414010476
