feature,gain,weight,cover,group,intended_type,gain_share
population_qoq_pct_lag2q,11.47590446472168,1.0,3187.0,population / scale,float32_numeric,0.050606937567806744
quarter_sin,4.691107749938965,20.0,2931.64990234375,time / policy,float32_time,0.020687048916694966
brent_oil_price_lag1q,4.44192361831665,11.0,2286.9091796875,oil / energy proxy,float32_numeric,0.019588186005221223
brent_oil_price_yoy_pct_lag1q,4.33784818649292,2.0,1506.0,oil / energy proxy,float32_numeric,0.019129229685321797
target_log_growth_lag1q,4.143332481384277,263.0,3121.12548828125,target history,float32_numeric,0.018271445954666652
quarter_num,3.9939024448394775,41.0,3126.9755859375,time / policy,int16_time,0.017612482946267195
log1p_brent_oil_price_lag1q,3.58575439453125,1.0,1826.0,oil / energy proxy,float32_numeric,0.01581261410247655
average_house_price_annual_change_qoq_pct_lag1q,2.7700209617614746,5.0,98.0,house price / housing,float32_numeric,0.012215357691789457
log1p_house_sales_volume_lag4q,2.7129602432250977,1.0,168.0,house price / housing,float32_numeric,0.011963728878616459
ftse_100_qoq_pct_lag1q,2.634100914001465,43.0,3257.67431640625,market / FX,float32_numeric,0.0116159716135636
brent_oil_price_lag2q,2.5120625495910645,1.0,26.0,oil / energy proxy,float32_numeric,0.011077801580205436
brent_oil_price_qoq_pct_lag1q,2.4603638648986816,6.0,3602.833251953125,oil / energy proxy,float32_numeric,0.010849818494723327
gbp_index_qoq_pct_lag2q,2.4266903400421143,4.0,1182.5,market / FX,float32_numeric,0.01070132353510224
income_qoq_pct_lag4q,2.3848915100097656,14.0,3019.0,income / affordability,float32_numeric,0.01051699725490732
log1p_brent_oil_price_lag2q,2.1895036697387695,1.0,31.0,oil / energy proxy,float32_numeric,0.00965536754506617
uk_bank_rate_yoy_pct_lag8q,2.145958662033081,2.0,1155.5,interest rate,float32_numeric,0.009463340895391121
average_private_rental_price_lag8q,2.0882978439331055,3.0,96.0,rent,float32_numeric,0.009209065737327151
house_price_to_income_yoy_pct_lag1q,2.0193052291870117,17.0,152.76470947265625,house price / housing,float32_numeric,0.008904819134557965
log1p_homelessness_relief_lag1q,2.0116474628448486,13.0,2862.384521484375,target history,float32_numeric,0.008871049586861047
cpi_00_all_items_qoq_pct_lag1q,1.9306631088256836,34.0,2363.911865234375,CPI total,float32_numeric,0.008513921295978534
gbp_index_qoq_pct_lag4q,1.805912733078003,7.0,34.0,market / FX,float32_numeric,0.00796379171826804
homelessness_relief_lag1q,1.7965859174728394,94.0,2475.372314453125,target history,float32_numeric,0.007922661925275432
ftse_100_yoy_pct_lag8q,1.7887306213378906,1.0,30.0,market / FX,float32_numeric,0.007888021302194258
log1p_house_sales_volume_lag1q,1.7472895383834839,6.0,2121.666748046875,house price / housing,float32_numeric,0.007705272630465329
house_sales_volume_lag4q,1.725805640220642,24.0,316.2083435058594,house price / housing,float32_numeric,0.007610532011424595
house_sales_volume_lag8q,1.6244982481002808,8.0,1174.375,house price / housing,float32_numeric,0.007163782312178403
internal_net_migration_yoy_pct_lag8q,1.6179888248443604,72.0,1486.0694580078125,migration,float32_numeric,0.007135076777261528
average_house_price_annual_change_qoq_pct_lag2q,1.5908057689666748,16.0,509.25,house price / housing,float32_numeric,0.007015203767170415
ftse_100_yoy_pct_lag1q,1.5884805917739868,13.0,3488.15380859375,market / FX,float32_numeric,0.007004950100682847
international_net_migration_qoq_pct_lag1q,1.509083867073059,1.0,177.0,migration,float32_numeric,0.006654823005918326
average_private_rental_price_lag1q,1.5069564580917358,2.0,252.0,rent,float32_numeric,0.006645441466203528
log1p_house_price_index_lag8q,1.5019994974136353,1.0,1645.0,house price / housing,float32_numeric,0.006623582047598758
house_sales_volume_qoq_pct_lag1q,1.4633005857467651,5.0,110.5999984741211,house price / housing,float32_numeric,0.006452925920869241
average_private_rental_price_lag2q,1.3998531103134155,2.0,247.0,rent,float32_numeric,0.006173132512170073
population_lag4q,1.396852970123291,36.0,2433.388916015625,population / scale,float32_numeric,0.006159902364797983
gbp_index_lag8q,1.3890190124511719,1.0,20.0,market / FX,float32_numeric,0.0061253558409888565
log1p_population_lag4q,1.3888378143310547,4.0,1230.75,population / scale,float32_numeric,0.006124556785717843
annual_rent_to_income_yoy_pct_lag1q,1.3834943771362305,2.0,386.5,rent,float32_numeric,0.006100993066331084
house_sales_volume_yoy_pct_lag8q,1.375038981437683,5.0,586.4000244140625,house price / housing,float32_numeric,0.006063706098358938
average_house_price_annual_change_lag1q,1.3569377660751343,11.0,921.5454711914062,house price / housing,float32_numeric,0.005983882579561794
ftse_100_lag8q,1.3514150381088257,9.0,1012.5555419921875,market / FX,float32_numeric,0.005959528216012137
brent_oil_price_qoq_pct_lag4q,1.3335978984832764,4.0,1366.25,oil / energy proxy,float32_numeric,0.005880957426630009
homelessness_total_assessments_rolling4_std_lag1q,1.2766199111938477,8.0,630.5,target history,float32_numeric,0.00562969344527154
homelessness_per_1000_lag1q,1.2479572296142578,78.0,2782.179443359375,target history,float32_numeric,0.005503295518059499
house_sales_volume_qoq_pct_lag8q,1.2358098030090332,3.0,93.33333587646484,house price / housing,float32_numeric,0.005449727273246211
log1p_annual_rent_to_income_lag4q,1.2145205736160278,2.0,2263.0,rent,float32_numeric,0.0053558451129275585
house_price_to_income_qoq_pct_lag4q,1.1873527765274048,8.0,123.0,house price / housing,float32_numeric,0.005236039391701372
private_rental_price_index_qoq_pct_lag4q,1.1631560325622559,1.0,235.0,rent,float32_numeric,0.005129335548448509
international_net_migration_lag1q,1.1289217472076416,1.0,3147.0,migration,float32_numeric,0.00497836772304134
income_lag1q,1.114035964012146,4.0,28.5,income / affordability,float32_numeric,0.004912723755444872
annual_rent_to_income_lag8q,1.1057074069976807,4.0,842.5,rent,float32_numeric,0.004875996126162435
private_rental_price_annual_change_qoq_pct_lag8q,1.096411943435669,3.0,434.0,rent,float32_numeric,0.004835004590759482
brent_oil_price_yoy_pct_lag8q,1.0816264152526855,1.0,2011.0,oil / energy proxy,float32_numeric,0.004769802732033357
cpi_00_all_items_qoq_pct_lag8q,1.0685653686523438,1.0,962.0,CPI total,float32_numeric,0.004712205566432542
international_net_migration_yoy_pct_lag2q,1.0550401210784912,12.0,1151.3333740234375,migration,float32_numeric,0.004652561347394013
log1p_house_sales_volume_lag8q,1.0376574993133545,1.0,1701.0,house price / housing,float32_numeric,0.004575906713579544
population_qoq_pct_lag4q,1.030839204788208,1.0,295.0,population / scale,float32_numeric,0.0045458391048421466
income_yoy_pct_lag2q,1.018347978591919,7.0,819.4285888671875,income / affordability,float32_numeric,0.004490754757790963
quarter_cos,1.0140565633773804,4.0,1178.75,time / policy,float32_time,0.004471830290224393
average_house_price_monthly_change_qoq_pct_lag4q,1.010033130645752,9.0,165.0,house price / housing,float32_numeric,0.004454087583348109
annual_rent_to_income_lag1q,1.006848931312561,7.0,1048.7142333984375,rent,float32_numeric,0.004440045764042832
ftse_100_qoq_pct_lag2q,1.0008845329284668,2.0,670.0,market / FX,float32_numeric,0.004413743703270081
international_net_migration_yoy_pct_lag4q,0.998405396938324,2.0,222.5,migration,float32_numeric,0.004402811102649282
average_house_price_monthly_change_yoy_pct_lag8q,0.9876514673233032,4.0,1073.75,house price / housing,float32_numeric,0.004355387960856062
log1p_house_sales_volume_lag2q,0.9838256239891052,3.0,1520.3333740234375,house price / housing,float32_numeric,0.004338516592211162
homelessness_relief_lag2q,0.9681103825569153,13.0,1230.6922607421875,target history,float32_numeric,0.004269214843972782
house_sales_volume_lag1q,0.9647352695465088,25.0,2616.39990234375,house price / housing,float32_numeric,0.004254331125314526
ftse_100_qoq_pct_lag4q,0.9641314148902893,7.0,526.4285888671875,market / FX,float32_numeric,0.004251668221054451
homelessness_total_assessments_rolling4_mean_lag1q,0.9522342681884766,14.0,774.0714111328125,target history,float32_numeric,0.004199203671334249
international_net_migration_yoy_pct_lag1q,0.9467885494232178,6.0,2149.333251953125,migration,float32_numeric,0.004175188906274773
uk_bank_rate_lag4q,0.9432486295700073,2.0,370.5,interest rate,float32_numeric,0.004159578415305876
house_price_index_lag8q,0.9282550811767578,5.0,1880.199951171875,house price / housing,float32_numeric,0.004093459220100858
international_net_migration_lag4q,0.9201164245605469,14.0,2931.71435546875,migration,float32_numeric,0.004057569021770213
